Time	Acceleration - Dev3_ai0	Acceleration - Dev3_ai1	Acceleration - Dev3_ai2
1.519727E-1	6.393964E-3	6.166948E-3	2.575882E-3
1.525781E-1	4.221745E-3	8.784749E-3	7.395319E-4
1.531836E-1	4.246152E-3	5.532329E-3	3.082251E-3
1.537891E-1	6.998037E-3	1.049334E-2	7.322328E-3
1.543945E-1	1.866473E-3	2.078541E-3	2.899226E-3
1.550000E-1	6.009555E-3	8.443031E-3	2.222034E-3
1.556055E-1	3.745809E-3	4.299705E-3	1.715665E-3
1.562109E-1	4.459713E-3	3.158612E-3	1.483833E-3
1.568164E-1	5.411584E-3	4.397339E-3	3.698434E-3
1.574219E-1	2.226476E-3	6.447644E-3	2.691798E-3
1.580273E-1	5.924130E-3	3.835945E-3	5.321037E-4
1.586328E-1	7.303124E-3	5.520125E-3	4.332921E-3
1.592383E-1	5.704468E-3	2.859609E-3	4.711172E-3
1.598438E-1	4.514628E-3	8.272172E-3	4.949105E-3
1.604492E-1	7.278717E-3	1.161002E-2	3.039545E-3
1.610547E-1	7.052952E-3	3.067081E-3	8.371452E-4
1.616602E-1	5.637348E-3	5.629963E-3	4.308517E-3
1.622656E-1	2.586478E-3	4.037315E-3	5.394465E-3
1.628711E-1	1.872575E-3	5.422491E-3	4.832971E-4
1.634766E-1	5.820401E-3	4.494972E-3	8.005402E-4
1.640820E-1	6.814984E-3	6.844281E-3	5.467675E-3
1.646875E-1	1.262401E-3	4.031213E-3	5.492079E-3
1.652930E-1	5.051581E-3	9.156977E-3	3.576418E-3
1.658984E-1	6.699051E-3	6.435440E-3	9.713635E-4
1.665039E-1	4.392594E-3	2.725363E-3	1.020170E-3
1.671094E-1	3.745809E-3	5.019753E-3	4.168198E-3
1.677148E-1	2.153255E-3	3.378288E-3	2.215933E-3
1.683203E-1	6.155996E-3	5.404185E-3	-1.304246E-3
1.689258E-1	2.134950E-3	3.945783E-3	8.676494E-4
1.695312E-1	3.825132E-3	7.765698E-3	5.473776E-3
1.701367E-1	5.014971E-3	4.665831E-3	4.711172E-3
1.707422E-1	5.405482E-3	9.144772E-3	2.514873E-3
1.713477E-1	2.141051E-3	4.488870E-3	1.453329E-3
1.719531E-1	3.654283E-3	8.790851E-3	5.565288E-3
1.725586E-1	4.715986E-3	3.292859E-3	3.893661E-3
1.731641E-1	5.649552E-3	6.392725E-3	6.602212E-4
1.737695E-1	4.783105E-3	7.417878E-3	2.954133E-3
1.743750E-1	1.445453E-3	4.458360E-3	2.685697E-3
1.749805E-1	4.362085E-3	3.439309E-3	3.808249E-3
1.755859E-1	7.181089E-3	9.089854E-3	4.729475E-3
1.761914E-1	3.745809E-3	5.404185E-3	1.880387E-3
